รายงาน ข้อมูลปริมาณน้ำฝน เดือนตุลาคม พ.ศ. 2568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;หน่วย: มิลลิเมตร;;;
สถานี/วันที่;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;ต่ำสุด;สูงสุด;รวม;จำนวนวันฝนตก
TA130204 แม่น้ำท่าจีนที่สะพานบุญรัตน์ประชานุวัฒน์;0.0;0.0;0.5;0.5;1.5;0.0;3.5;0.0;0.0;6.0;44.0;53.0;1.0;6.5;0.0;10.5;0.0;3.0;27.0;4.0;0.0;-;0.0;0.0;0.0;0.0;0.0;-;0.0;16.0;-;0.0;53.0;177.0;14
TA130212 โรงเรียนกำแพงแสนวิทยา;0.0;0.0;3.0;3.0;0.0;0.0;0.0;1.5;0.0;0.0;0.5;0.0;4.5;24.0;11.5;2.5;1.0;0.0;8.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.5;61.0;0.0;61.0;155.0;13
TA130205 แม่น้ำท่าจีนที่สะพานหลวงพ่อเปิ่น;0.0;0.0;8.5;8.5;31.5;0.0;1.5;4.5;1.5;0.0;5.0;10.5;0.5;1.5;0.0;11.0;0.0;11.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;15.5;55.5;0.0;55.5;167.5;15
TA130206 แม่น้ำท่าจีนที่สะพานข้ามแม่น้ำท่าจีน (ทางหลวง 346);0.0;0.0;30.5;30.5;3.0;0.0;0.0;5.5;0.0;1.0;6.5;0.0;25.5;0.0;7.5;5.0;0.0;0.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;49.5;0.0;49.5;204.0;13
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
รายงาน ข้อมูลระดับน้ำ เดือนตุลาคม พ.ศ. 2568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;หน่วย: เมตร เหนือระดับน้ำทะเลปานกลาง;;;;
สถานี/วันที่;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;ต่ำสุด;สูงสุด;เฉลี่ย;
TA130204 แม่น้ำท่าจีนที่สะพานบุญรัตน์ประชานุวัฒน์;-15,07;-15,07;-15,07;-;-;0,92;1,19;-;0,99;0,71;0,44;0,35;0,47;0,44;0,49;0,55;0,65;0,75;0,84;1,53;1,54;1,67;-;1,26;1,05;0,77;0,56;0,35;-;0,15;0,34;-15,07;1,85;-0,59;
TA130205 แม่น้ำท่าจีนที่สะพานหลวงพ่อเปิ่น;1,18;1,17;1,15;-;1,22;1,22;1,24;-;1,15;1,12;1,19;1,27;1,34;1,35;1,40;1,41;1,42;1,44;1,40;1,42;1,45;1,41;1,41;1,43;1,41;2,05;1,70;1,32;1,25;1,21;1,27;1,03;2,31;1,39;
TA130206 แม่น้ำท่าจีนที่สะพานข้ามแม่น้ำท่าจีน (ทางหลวง 346);2,17;2,15;2,14;-;2,19;2,20;2,22;-;2,16;2,14;2,20;2,25;2,29;2,31;2,36;2,38;2,40;2,43;2,42;2,43;2,47;2,45;2,44;2,43;2,43;2,41;2,35;2,33;2,27;2,25;2,28;2,06;2,49;2,30;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
รายงาน ข้อมูลอัตราการไหล เดือนตุลาคม พ.ศ. 2568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;หน่วย: ลูกบาศก์เมตร ต่อวินาที;;;
สถานี/วันที่;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;ต่ำสุด;สูงสุด;เฉลี่ย;รวม ล้าน ลบ.ม.
TA130204 แม่น้ำท่าจีนที่สะพานบุญรัตน์ประชานุวัฒน์;0,00;0,00;0,00;-;-;798,37;833,44;-;807,46;773,22;743,37;733,42;746,69;743,37;748,90;755,53;766,59;777,65;788,10;881,89;883,37;904,81;-;842,53;815,25;779,86;756,64;733,42;-;711,31;732,32;0,00;944,11;725,25;1.942,50
TA130205 แม่น้ำท่าจีนที่สะพานหลวงพ่อเปิ่น;659,46;658,28;655,91;-;664,19;664,19;666,56;-;655,91;652,36;660,64;670,11;678,39;679,58;685,61;686,82;688,03;690,45;685,61;688,03;691,66;686,82;686,82;689,24;686,82;764,38;721,91;676,03;667,74;663,01;670,11;641,71;796,10;684,85;1.834,31
TA130206 แม่น้ำท่าจีนที่สะพานข้ามแม่น้ำท่าจีน (ทางหลวง 346);636,25;633,63;632,32;-;638,89;640,24;642,93;-;634,94;632,32;640,24;647,11;652,71;655,51;662,51;665,30;668,10;672,41;670,93;672,41;678,38;675,38;673,89;672,41;672,41;669,50;661,11;658,31;649,91;647,11;651,31;621,81;681,43;654,73;1.753,63
